카테고리,메뉴명,정보,용량,1회제공량(kcal),나트륨(mg),포화지방(g),당류(g),단백질(g),카페인(mg)
에스프레소,"인절미 크림 라떼
Injeolmi Cream Latte",고소하고 쌉싸름한 맛의 콩고물과 쫀득한 식감의 인절미 젤리를 달콤한 크림이 얹어진 커피와 함께 즐길 수 있는 라떼,355ml,530,250,19,49,12,75
에스프레소,"카페 라떼
Caffe Latte",풍부하고 진한 에스프레소가 신선한 스팀 밀크를 만나 부드러워진 커피 위에 우유 거품을 살짝 얹은 대표적인 커피 라떼,355ml,180,115,5,13,10,75
에스프레소,"프렌치 바닐라 라떼
French Vanilla Latte","미국에서 출시되었던 프렌치 바닐라 라떼를 재해석한
여름에 시원하게 즐기기 좋은 블론드 라떼!
깊은 프렌치 바닐라 풍미와 블론드 샷으로
진하고 달콤한 프렌치 감성을 느낄 수 있는 음료",355ml,205,130,8,24,3,170
에스프레소,"아이스 카페 모카
Iced Caffe Mocha",진한 초콜릿 모카 시럽과 풍부한 에스프레소를 신선한 우유 그리고 얼음과 섞어 휘핑크림으로 마무리한 음료로 진한 에스프레소와 초콜릿 맛이 어우러진 커피,355ml,250,70,8,21,7,95
에스프레소,"아이스 화이트 초콜릿 모카
Iced White Chocolate Mocha",달콤하고 부드러운 화이트 초콜릿 시럽과 에스프레소를 신선한 우유 그리고 얼음과 섞어 휘핑크림으로 마무리한 음료로 달콤함과 강렬한 에스프레소가 부드럽게 어우러진 커피,355ml,335,160,8,41,8,75
에스프레소,"카페 모카
Caffe Mocha",진한 초콜릿 모카 시럽과 풍부한 에스프레소를 스팀 밀크와 섞어 휘핑크림으로 마무리한 음료로 진한 에스프레소와 초콜릿 맛이 어우러진 커피,355ml,290,105,9,25,10,95
에스프레소,"클래식 민트 모카
Classic Mint Mocha","스타벅스의 클래식인 페퍼민트 모카를 떠올리게 하는 리저브만의 에스프레소 음료.
오트음료(식물성 대체유)의 고소함과 다크 초콜릿의 쌉쌀함이 특징인 음료.",473ml,335,200,0.7,43,4,210
에스프레소,"화이트 초콜릿 모카
White Chocolate Mocha",달콤하고 부드러운 화이트 초콜릿 시럽과 에스프레소를 스팀 밀크와 섞어 휘핑크림으로 마무리한 음료로 달콤함과 강렬한 에스프레소가 부드럽게 어우러진 커피,355ml,405,230,11,47,12,75
에스프레소,"아이스 플랫 화이트
Iced Flat White","부드러운 리스트레토 샷과 완벽한 양의 우유를 더해, 카페 라떼보다 커피의 맛을 진하게 즐길 수 있는 에스프레소 음료입니다.",355ml,120,90,3.5,9,6,130
에스프레소,"플랫 화이트
Flat White","부드러운 리스트레토 샷과 완벽한 양의 스팀밀크를 더해, 카페 라떼보다 커피의 맛을 진하게 즐길 수 있는 에스프레소 음료입니다.",355ml,170,130,5,13,8,130
에스프레소,"바닐라 스타벅스 더블 샷
Vanilla Starbucks Double Shot","신선하게 제조된 더블 샷 믹스에 바닐라 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료",207ml,125,30,4.5,14,2,150
에스프레소,"블론드 바닐라 더블 샷 마키아또
Blonde Vanilla Double Shot Macchiato",블론드 에스프레소 2샷에 흑당 시럽과 바닐라 크림이 부드럽고 달콤하게 어우러진 마키아또 타입의 음료를 즐겨 보세요!,355ml,315,130,12,31,8,170
에스프레소,"사케라또 아포가토
Shakerato Affogato","민트 잎과 쉐이킹한 리저브 에스프레소를
바닐라 아이스크림에 부어 프레쉬함과
달콤함이 조화롭게 퍼지는 리저브 만의 디저트 음료",355ml,290,70,10,30,4,210
에스프레소,"스파클링 시트러스 에스프레소
Sparkling Citrus Espresso","리저브 에스프레소에 상큼한 레몬과
진저에일을 더해 청량감과 시트러스 풍미를
가득 선사하는 커피 음료",355ml,65,5,0,15,0,105
에스프레소,"아이스 블론드 바닐라 더블 샷 마키아또
Iced Blonde Vanilla Double Shot Macchiato",블론드 에스프레소 2샷에 흑당 시럽과 바닐라 크림이 부드럽고 달콤하게 어우러진 마키아또 타입의 음료를 즐겨 보세요!,355ml,195,65,6,22,5,170
에스프레소,"에스프레소
Espresso","스타벅스 에스프레소는 향기로운 크레마 층과 바디 층, 하트 층으로 이루어져 있으며, 입안 가득히 커피와 달콤한 카라멜 향이 느껴지는 커피 음료",22ml,5,0,0,0,0,75
에스프레소,"에스프레소 플라이트
Espresso Flight",스타벅스 리저브 에스프레소를 새롭고 다양하게 즐길 수 있는 에스프레소 플라이트,,-,-,-,-,-,-
에스프레소,"커피 스타벅스 더블 샷
Coffee Starbucks Double Shot","신선하게 제조된 더블 샷 믹스에 클래식 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료",207ml,125,28.5,5,14,3,150
에스프레소,"클래식 아포가토
Classic Affogato",[리저브R 매장 전용음료] 리저브 에스프레소 투 샷이 바닐라 아이스크림과 진하게 어우러진 정통 아포가토,355ml,240,70,10,18,4,210
에스프레소,"헤이즐넛 스타벅스 더블 샷
Hazelnut Starbucks Double Shot","신선하게 제조된 더블 샷 믹스에 헤이즐넛 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료",207ml,125,28.5,5,14,3,150
프라푸치노,"더블 에스프레소 칩 프라푸치노
Double Espresso Chip Frappuccino","리스트레토 에스프레소 2샷과 에스프레소 칩, 하프앤하프가 진하게 어우러진 커피의 기본에 충실한 프라푸치노",355ml,290,140,13,31,4,130
프라푸치노,"에스프레소 프라푸치노
Espresso Frappuccino",에스프레소 샷의 강렬함과 약간의 단맛이 어우러진 프라푸치노,355ml,145,115,1.1,29,2,120
프라푸치노,"자바 칩 프라푸치노
Java Chip Frappuccino","커피, 모카 소스, 진한 초콜릿 칩이 입안 가득 느껴지는 스타벅스에서만 맛볼 수 있는 프라푸치노",355ml,340,180,9,42,6,100
프라푸치노,"카라멜 프라푸치노
Caramel Frappuccino",카라멜과 커피가 어우러진 프라푸치노,355ml,300,190,7,39,4,85
프라푸치노,"딸기 글레이즈드 크림 프라푸치노
Strawberry Glazed Cream Frappuccino","상큼&달콤한 딸기와 부드러운 글레이즈드 소스에 바삭한 딸기 토핑을 얹은 프라푸치노.
숙련된 바리스타의 솜씨로 그려낸 특별한 예술 작품을 감상해보세요.",355ml,330,220,9,44,5,5
프라푸치노,"송당R 자몽 망고 코코 프라푸치노
SongdangR Grapefruit Mango Coco Frappuccino","[더제주송당파크R 한정판매]
송당에서 하루 170잔 이상 판매됐던
인기 음료가 다시 돌아왔습니다.",473ml,365,320,11,49,2,0
프라푸치노,"제주 까망 크림 프라푸치노
Jeju Black Sesame Cream Frappuccino","[제주 Only]쫄깃한 흑임자 떡과 블랙 소보로 토핑으로 컵빙수처럼 먹는 음료.
고소한 흑임자와 쫄깃한 흑임자 떡, 달콤한 블랙 소보로 토핑으로 제주의 돌 하르방 길을 느낄 수 있는 음료",473ml,600,330,7,79,9,0
프라푸치노,"제주 말차 크림 프라푸치노
Jeju Malcha Cream Frappuccino","깊고 진한 말차 본연의 맛과 향을
시원하고 부드럽게 즐길 수 있는 프라푸치노",355ml,230,150,7,28,5,60
프라푸치노,"제주 쑥떡 크림 프라푸치노
Jeju Mugwort Cream Frappuccino","[제주지역 한정음료] 쫄깃쫄깃한 흑임자 떡으로
씹는 재미를 즐길 수 있는 음료로,
고소한 흑임자와 쑥떡 토핑이 올라간 음료",473ml,460,250,10,57,8,0
프라푸치노,"초콜릿 크림 칩 프라푸치노
Chocolate Cream Chip Frappuccino","모카 소스와 진한 초콜릿 칩, 초콜릿 드리즐이 올라간 달콤한 크림 프라푸치노",355ml,300,160,7,40,6,10
프라푸치노,"화이트 타이거 프라푸치노
White Tiger Frappuccino","밀크 쉐이크 같은 부드럽고 달콤한 바닐라 크림 프라푸치노에 깊은 풍미의 단맛을 가진 흑당시럽이 어우러져 용인에버랜드 백호의 줄무늬를 형상화한 부드럽고 달콤한 프라푸치노

* 용인에버랜드R 매장에서만 판매하는 음료입니다",473ml,410,220,14,57,5,0
블렌디드,"망고 패션 티 블렌디드
Mango Passion Tea Blended","망고 패션 프루트 주스와 패션 탱고 티가
상큼하게 어우러진 과일 블렌디드",355ml,150,105,0,29,2,0
블렌디드,"북한산 레몬 얼 그레이 블렌디드
Bukhansan Lemon Earl Grey Blended",꼬냑 향을 가미한 상큼한 레모네이드와 은은한 얼 그레이 티가 어우러진 블렌디드 음료,355ml,110,10,0.1,25,0,8
블렌디드,"송당R 더블 멜론 블렌디드
SongdangR Double Melon Blended","인기리에 판매되었던 더 멜론 오브 멜론
프라푸치노보다 칸탈로프 멜론 청크를
36% 증량해 더 진해진 멜론의 풍미
*더제주송당파크R 한정판매",473ml,255,80,4.5,46,3,0
블렌디드,"스타벅스 클래식 밀크티 블렌디드
Starbucks Classic Milk Tea Blended","블랙티의 풍미와 향이 더욱 풍요롭게
느껴질 수 있는 밀크티 블렌디드",355ml,315,55,13,37,3,60
블렌디드,"여수 바다 유자 블렌디드
Yeosu Sea Yuja Blended","맑고 깨끗한 여수 경도의 낮 바다 풍경을 형상화한 음료로
상큼하게 즐길 수 있는 유자 블렌디드 음료 (유자:국내산)",473ml,235,10,0,57,0,0
블렌디드,"한라봉 천혜향 블렌디드
Hallabong Cheonhyehyang Blended","[제주 Only]새콤달콤 한라봉, 천혜향과
탱글말랑 한라봉 젤리로
제주의 싱그러움을 담아 낸 음료",473ml,260,25,0,43,1,0
블렌디드,"딸기 딜라이트 요거트 블렌디드
Strawberry Delight Yogurt Blended","유산균이 살아있는 리얼 요거트와 풍성한 딸기 과육이
더욱 상큼하게 어우러진 과일 요거트 블렌디드",355ml,310,110,4.3,43,10,0
블렌디드,"망고 바나나 블렌디드
Mango Banana Blended","(Grande Only) 달콤한 망고 패션 프루트 주스에
바나나 1개가 통째로 들어간 신선한 블렌디드",473ml,290,130,0.9,45,4,0
블렌디드,"스타벅스 판다 쿠키 블렌디드
Starbucks Panda Cookie Blended","[용인에버랜드점 한정 판매]
초콜릿과 고소한 너티 풍미의 달콤한 조합!
너티 쿠키의 바삭한 식감과 판다 초콜릿으로 귀여움까지 즐길 수 있는 음료",473ml,310,220,8,47,8,0
블렌디드,"코튼 스카이 요거트 블렌디드
Cotton Sky Yogurt Blended","고층 매장에서 느낄 수 있는 드넓은 전경을 형상화한 음료로,
붉게 노을지는 하늘을 표현한 솜사탕 토핑과 함께 즐길 수 있는 피나콜라다 컨셉의 음료.",355ml,270,65,1.8,41,4,0
블렌디드,"피치 망고 블렌디드
Peach Mango Blended","오직 강릉주문진점에서만 다시 만날 수 있는 특화 음료로,
달콤한 피치,망고에 새콤한 패션 탱고 티를 더한 매력적인 음료
*G Only",473ml,225,100,0,32,1,0
스타벅스 리프레셔,"딸기 아사이 레모네이드 스타벅스 리프레셔
Strawberry Acai with Lemonade Starbucks Refreshers™","딸기, 아사이베리 주스와 레모네이드가 달콤 상큼하게 조화된 맛에 가볍게 에너지 부스팅을 할 수 있는 리프레셔 음료.",887ml,265,0,0,62,1,73
스타벅스 리프레셔,"딸기 아사이 레모네이드 스타벅스 리프레셔
Strawberry Acai with Lemonade Starbucks Refreshers™","딸기, 아사이베리 주스와 레모네이드가 달콤 상큼하게 조화된 맛에 가볍게 에너지 부스팅을 할 수 있는 리프레셔 음료",355ml,105,0,0,24,1,30
스타벅스 리프레셔,"망고 용과 레모네이드 스타벅스 리프레셔
Mango Dragonfruit with Lemonade Starbucks Refreshers™","망고 용과와 레모네이드가 달콤 상큼하게 조화된 맛에
가볍게 에너지 부스팅을 할 수 있는 음료",355ml,95,35,0,23,0,25
스타벅스 피지오,"오텀 애플 피지오
Autumn Apple Fizzio","가을철 잘 어울리는 사과를 활용한 논카페인 피지오 음료
사과 한 개 분량의 식이 섬유가 들어있으며
그란데 80kcal로 가볍게 즐기세요.",355ml,60,10,0,14,0,0
스타벅스 피지오,"라이트 핑크 자몽 피지오
Light Pink Grapefruit Fizzio","달콤 쌉싸름한 자몽에 탄산의 청량감을 가득 담은 피지오로,
2018년 대비 칼로리를 60% 낮춰 돌아왔습니다.
*G사이즈 기준 99kcal 이하
*18년 대비 칼로리 60% DOWN",355ml,70,0,0,17,0,0
스타벅스 피지오,"리버 피치 피지오
River Peach Fizzio",길고 깊은 강의 모습과 달콤한 복숭아가 만나 강의 뷰를 즐기며 힐링할 수 있는 상큼한 피지오,473ml,155,45,0,22,0,0
스타벅스 피지오,"아이스크림 레드 애플 피지오
Ice Cream Red Apple Fizzio","리저브 전용 아이스크림과 함께 달콤 상큼한 사과맛으로
부드럽게 먹을 수 있는 애플 피지오",355ml,240,45,5,36,2,0
스타벅스 피지오,"여수 바다 자몽 피지오
Yeosu Sea Grapefruit Fizzio","여수 돌산대교의 밤바다 풍경을 형상화한 음료로
알록달록 색상 조명의 토핑과 함께
여수의 풍경을 바라보며 즐길 수 있는 트로피컬 맛의 음료",473ml,250,105,0,45,1,0
스타벅스 피지오,"제주팔삭 셔벗 피지오
Jeju Hassaku Orange Frozen Fizzio","제주송당의 소원나무에 걸린 제주 동백꽃을 형상화한 음료
제주의 자몽이라는 별명을 가진 제주 팔삭과 제주 한라봉으로
매장에서 직접 만든 셔벗과 함께 상큼하게 즐길 수 있는 피지오 음료",355ml,165,5,0,38,0,0
스타벅스 피지오,"제주팔삭 피지오
Jeju Hassaku Orange Fizzio","제주의 자몽이라는 별명을 가진 팔삭과 제주 한라봉으로
상큼하고 가볍게 즐길 수 있는 피지오 음료",355ml,150,5,0,34,0,0
스타벅스 피지오,"쿨 라임 피지오
Cool Lime Starbucks Fizzio™",그린 빈 추출액이 들어간 라임 베이스에 건조된 라임 슬라이스를 넣고 스파클링한 시원하고 청량감 있는 음료입니다. (카페인이 함유된 탄산음료입니다),355ml,105,20,0,25,0,110
티(티바나),"골든 애플 블랙 티
Golden Apple Black Tea","사과 한 개 분량의 식이 섬유가 들어있어
가을철 잘 어울리는 진한 맛과 풍미가 가득한 티 음료
핫 그란데 99kcal로 부담스럽지 않고 가볍게 즐겨보세요",355ml,72,15,0,17,0,16
티(티바나),"아이스 골든 애플 블랙 티
Iced Golden Apple Black Tea","사과 한 개 분량의 식이 섬유가 들어있어
가을철 잘 어울리는 진한 맛과 풍미가 가득한 티 음료
아이스 그란데 80kcal로 부담스럽지 않고 가볍게 즐겨보세요",355ml,60,10,0,14,0,16
티(티바나),"민트 블렌드 티
Mint Blend Brewed Tea","스피어민트, 페퍼민트, 레몬머틀이 블렌딩된 상쾌한 허브 티",355ml,0,0,0,0,0,0
티(티바나),"아이스 민트 블렌드 티
Iced Mint Blend Brewed Tea","스피어민트, 페퍼민트, 레몬머틀이 블렌딩된 상쾌한 허브 티",355ml,0,0,0,0,0,0
티(티바나),"아이스 얼 그레이 티
Iced Earl Grey Brewed Tea",꽃향 가득한 라벤더와 베르가못 향이 진한 홍차와 블렌딩된 향긋한 블랙 티,355ml,0,0,0,0,0,50
티(티바나),"아이스 유스베리 티
Iced Youthberry™Brewed Tea","제주산 찻잎으로 만든 황차에 사과, 망고, 파인애플, 히비스커스, 로즈힙 등이
블렌딩되어 핑크빛 컬러가 감도는 수색과 베리류의 새콤함을 느낄 수 있는 옐로우 티",355ml,0,0,0,0,0,20
티(티바나),"아이스 유자 민트 티
Iced Yuja Mint Tea",달콤한 국내산 고흥 유자와 알싸하고 은은한 진저와 상쾌한 민트 티가 조화로운 유자 민트 티,355ml,145,5,0,37,0,0
티(티바나),"아이스 잉글리쉬 브렉퍼스트 티
Iced English Breakfast Brewed Tea","인도 아삼, 제주도 유기농 홍차가 블렌딩되어 진한 벌꿀향과 그윽한 몰트향이 특징인 블랙 티",355ml,0,0,0,0,0,40
